_sid,date,dayoftheweek,col_1,col_2,col_3,col_4,col_5,col_6,col_7
0,2015/10/01,Thu,2.6011513606,-2.513018552,-1.6001344247,-0.8466034196,0.2580537141,-0.2579905357,0.2207160577
1,2015/10/02,Fri,0.6178656137,0.3934185196,0.3762560019,0.0398784374,0.0366892008,0.0093125763,0.0013141908
2,2015/10/03,Sat,4.9609720769,1.3439560513,-1.047568141,-0.4569123018,0.4531559588,0.2397569719,-0.1868824246
3,2015/10/04,Sun,2.6572541732,0,0,0,0,0,0
4,2015/10/05,Mon,0.1059875118,0.0436794128,-0.0416593558,-0.006243788,-0.0048320094,0.0037663873,-0.000498488
5,2015/10/06,Tue,-0.856365339,0.8436451113,-0.1338212391,-0.1320317269,0.1312248353,0.1248019902,-0.0972789168
6,2015/10/07,Wed,1.5872480584,0.4971717767,0.4791718646,-0.3083653673,-0.3050838191,0.2817322298,0.1490596449
7,2015/10/08,Thu,-3.0272099812,2.0487308229,-1.0374068966,-0.263318107,0.2384551801,-0.062564643,-0.0195970469
8,2015/10/09,Fri,-4.1090891832,-3.7804690418,3.6345334549,-1.468488339,-1.3128236756,0.2311562426,-0.1291675769
9,2015/10/10,Sat,5.0199338312,-3.7106381865,1.8789396842,-0.049888017,0.0374652645,-0.0370168661,0.0369875056
10,2015/10/11,Sun,-1.9559084874,-0.8060660431,-0.6858844371,0.3046099678,-0.3043683616,0.2756294023,-0.1829170109
11,2015/10/12,Mon,-0.5587890489,0.4728586948,0.3466954178,-0.039795369,-0.0204539623,-0.0137088423,0.0055388884
12,2015/10/13,Tue,1.9812147114,0.2448248887,0.1640887834,0.0486307595,0.0413800847,0.0263482726,0.0104319438
13,2015/10/14,Wed,-2.5386612125,-2.3083981081,1.2039473465,1.2038412307,-0.295244452,0.1692878166,0.1692065853
14,2015/10/15,Thu,-2.2351561954,-1.4232089015,-0.5634841981,0.5417322947,-0.2188802408,-0.1495524886,-0.0846628059
15,2015/10/16,Fri,-1.4395165833,1.3035950696,-0.6994738104,0.2995025634,0.2993588496,0.2898884711,-0.2453095392
16,2015/10/17,Sat,-1.8288637266,-1.8044074148,0.2388164792,0.2371143501,0.1254530973,-0.0144001104,-0.0045105291
17,2015/10/18,Sun,-0.061959165,0.0082004039,-0.0023609235,-0.0022754472,-0.0007127355,0.0002172494,0.0002093839
18,2015/10/19,Mon,-0.7509872468,0.7463977038,-0.3015727707,-0.2983635077,0.1623160469,0.0439723566,0.0420541034
19,2015/10/20,Tue,0.8403340737,0.5464590298,-0.5279437792,-0.2004115444,-0.0335400144,-0.0259563046,-0.022086311
20,2015/10/21,Wed,2.9718220671,2.4571877154,2.4396744738,-2.3268460013,-1.9579733962,-1.4355671411,0.5566865737
21,2015/10/22,Thu,-3.9990206934,0.035396569,0.0263744494,-0.0253563295,-0.0230564452,0.0040596779,-0.0038719285
22,2015/10/23,Fri,2.8305381845,-2.3543701699,1.0081005043,0.5558935155,-0.5330597861,-0.3572722211,-0.232329781
23,2015/10/24,Sat,-5.9506731207,-5.3662476809,-3.9984617694,-1.5830915766,-0.1956275697,-0.0069248839,-0.0057937432
24,2015/10/25,Sun,0.2477881191,-0.1060985783,-0.0314442849,0.0041617061,-0.0041606872,-0.0017146961,0.0004791127
25,2015/10/26,Mon,-0.9999902066,-0.1498757418,0.0859360334,0.0850215234,-0.0535540368,0.0149638279,-0.0043081357
26,2015/10/27,Tue,-1.2597759885,-0.9606528258,-0.8037356034,0.5333861803,-0.5301264728,0.3587747304,-0.3565821339
27,2015/10/28,Wed,1.1877754505,-0.7643787963,0.7637725172,-0.595334762,0.5708809549,0,0
28,2015/10/29,Thu,-3.9521264964,3.9279736836,-3.7948851759,1.0925600285,1.0924637304,-1.055448623,0.7801672484
29,2015/10/30,Fri,1.3545289415,-0.5472806841,0.2343361043,0.0927795573,0.0776245397,0.0230054745,-0.0219415323
30,2015/10/31,Sat,-1.5742491222,-1.5574963513,1.3324692457,1.0311855327,-0.5912630911,-0.4975307356,-0.0832646047
31,2015/11/01,Sun,5.2157921234,2.2749446949,1.1692725617,0.2967886936,-0.0829273607,-0.0617902678,0.0016406029
32,2015/11/02,Mon,-0.6636338842,0.5022397795,-0.4509750004,-0.1894848296,-0.1812187298,0.0917629383,0.0129495866
33,2015/11/03,Tue,1.1028533625,0.4545062572,-0.080027471,0.0504083432,-0.0487003961,-0.0332751162,-0.024793727
34,2015/11/04,Wed,2.2353394814,-1.2817031364,-0.3253262001,-0.2689890325,0.0751597045,0.0691488852,0.0454298909
35,2015/11/05,Thu,-3.8356970987,1.9422652205,-1.5139298375,1.0245852587,-1.0237725927,0.6794101823,0.3846192928
36,2015/11/06,Fri,-3.7549362339,-1.5474786329,-0.6377445501,-0.1067301858,0.1017941978,-0.0861403272,-0.0666631966
37,2015/11/07,Sat,2.521002221,-0.2893727705,-0.1842546412,-0.0729510465,0.0606788379,0.0250068708,-0.0160928749
38,2015/11/08,Sun,-5.2976174672,2.1404368873,1.8409242818,1.0151347671,-0.3936506202,0.3024239239,0.0896289485
39,2015/11/09,Mon,0.9563759284,-0.9563665622,-0.3786495748,0.3239422762,-0.0086010413,0.0072783766,-0.0072338959
40,2015/11/10,Tue,-1.9075053055,0.0168839194,-0.0166331301,0.0129649605,-0.0124644805,-0.0054365671,-0.0049026329
41,2015/11/11,Wed,2.9985604757,-1.5183679977,-0.966802613,-0.1617999283,0.1617603154,0.0679663524,-0.0178326618
42,2015/11/12,Thu,-3.815010611,3.6857495441,3.65947991,-1.0225154022,-0.7797277607,0.2244862084,0.085216702
43,2015/11/13,Fri,4.207354924,-1.8685396235,0.4902578104,-0.4527327162,0.0718136717,0.0301737376,-0.0273246839
44,2015/11/14,Sat,5.7827723177,0.7145952334,0.6834216798,0.1024293344,0.0320838157,-0.0320759607,0.029047296
45,2015/11/15,Sun,2.8848293967,-2.3708042538,-0.6017655082,-0.1783443884,-0.06770091,0.0353094775,0.019470588
46,2015/11/16,Mon,-0.1586226688,-0.1083807967,0.0733490839,-0.0733483655,-0.0537783116,0.0338743128,-0.0324829009
47,2015/11/17,Tue,0.7592154781,0.6460191262,-0.6241305575,0.5281520127,0.3434508316,-0.3433667457,0
48,2015/11/18,Wed,-2.9640948723,2.4359460355,-0.5974206017,-0.5894316497,-0.5680915045,0.5676409137,0.5398575324
49,2015/11/19,Thu,-0.7043024798,-0.1907996185,0.1432880802,-0.0400369103,0.0010630262,0.0008789405,-0.0006496959
50,2015/11/20,Fri,2.1008351841,-2.0835639102,-1.8626991841,-1.7814406615,-0.2981342495,0.0908744857,0.0136200144
51,2015/11/21,Sat,5.4776715044,4.0814851267,-3.6648784736,0.4850530799,-0.3585418735,-0.3583698303,-0.0537114702
52,2015/11/22,Sun,4.7828320032,-4.5616387107,3.027258016,2.9314890772,2.26865208,2.2684521212,-1.768181459
53,2015/11/23,Mon,0.6832617147,-0.5781900044,0.3230862426,-0.1805370542,0.0914177612,0.0384107298,-0.0194498738
54,2015/11/24,Tue,-1.9178485493,1.8291531415,1.8289919201,1.7711307751,1.6844421652,1.5378034748,-0.8817486352
55,2015/11/25,Wed,-2.9640948723,1.9075080812,-1.7273980437,-1.0998999879,-0.9359087763,0.7691465258,0
56,2015/11/26,Thu,3.8255037136,0.1354163386,0.0992859486,0.0562065337,-0.0558630362,-0.0316244914,-0.0216078042
57,2015/11/27,Fri,-3.2176906668,-2.7674372999,2.7667597575,-2.3013208852,-2.1009799725,-0.259624656,0.1111667783
58,2015/11/28,Sat,-5.9108775628,2.5309353339,2.1767800488,-1.8622788216,-1.2110172726,0.9094585274,0.7038214796
59,2015/11/29,Sun,-6.7297824432,-6.1439229199,6.1390497703,5.5361235485,-2.3704721596,-2.2954809954,-1.2994893219
60,2015/11/30,Mon,-0.9165215479,0.1613770997,0.061259996,-0.0565710607,-0.023769295,-0.0237578895,0.0101727165
61,2015/12/01,Tue,1.2734760143,-1.059245184,-1.0587369143,0.3227142564,0.1407565847,-0.0186293803,-0.0138809964
62,2015/12/02,Wed,0.3179625353,0.0448708755,0.0347251525,-0.0134657764,0.0041045117,0.0001452927,-0.0001440983
63,2015/12/03,Thu,-1.712730678,0.7333615938,-0.1291270973,0.0371761196,-0.031804913,-0.0175380776,0.0043012484
64,2015/12/04,Fri,-4.9694432696,-4.1577127319,-4.1186608151,2.240638432,1.6695291836,1.4206082666,0.1505667354
65,2015/12/05,Sat,-0.7941105006,0.6793773988,-0.574903017,0.526911003,-0.5052677514,0.1959335549,0.1436565859
66,2015/12/06,Sun,-6.9999314459,-6.3905541689,2.4781395468,-1.8317929166,1.8303400011,-1.2387227843,0.6460571095
67,2015/12/07,Mon,-0.3048106211,-0.2564892935,-0.0803398291,0.0603341871,0.0507694678,-0.0375278106,0.0049668714
68,2015/12/08,Tue,1.9998237202,-0.0530976276,-0.0478828219,-0.0407436619,-0.0267680398,0.0202581194,-0.0001793109
69,2015/12/09,Wed,-2.9976205026,2.9952428925,-2.5624901364,2.5468298723,-2.5312653136,0.6641403663,-0.6586803711
70,2015/12/10,Thu,-1.712730678,-1.6945042205,-1.5148811196,0.0134086813,-0.01238236,0.0117419709,-0.0099362954
71,2015/12/11,Fri,-4.9401581205,-2.0359304815,1.0309252435,-0.8723899762,0.4549958663,0.0080543027,0.0061418766
72,2015/12/12,Sat,5.7382555704,3.8459463017,-3.4533816428,1.3391579811,-1.0438282081,-0.1473050451,-0.1080026332
73,2015/12/13,Sun,3.8599867687,3.7202374388,-0.0329289722,-0.025110266,0.0072293289,-0.0055539656,0
74,2015/12/14,Mon,-0.1586226688,-0.0602143927,-0.0575875957,-0.0495293292,-0.0421446808,0.011775877,-0.0074174835
75,2015/12/15,Tue,-1.2870762667,-0.1816322131,-0.1658202664,-0.1111375805,-0.0918917389,-0.0113553491,-0.0103668121
76,2015/12/16,Wed,-0.3443544413,0.1474466039,0.0026100887,-0.0025788502,-0.0025776128,-0.0018898807,0
77,2015/12/17,Thu,-1.1516132667,-0.7332759364,-0.1986486956,0.0802615512,-0.0607421422,-0.0597452267,-0.0089544479
78,2015/12/18,Fri,-4.1588737131,3.7661860449,3.2046609797,-2.1267216135,1.6577073373,-1.6563925005,0.7092385626
79,2015/12/19,Sat,-4.0606317413,1.7386921388,-1.6582822398,-1.0894692084,-0.8117778451,0.8051041005,0.7350159649
80,2015/12/20,Sun,-4.4092159599,2.2326754663,-1.6503506066,-0.2039389781,-0.1578264747,-0.0650432077,-0.0268055082
81,2015/12/21,Mon,-0.8218178366,0.7532137557,-0.7222749544,0.3092656181,-0.0544541354,-0.0237509747,0.0178366791
82,2015/12/22,Tue,1.0581653722,0.5835006194,-0.5830378067,0.4988004921,0.2823747679,0.2104011557,-0.1555244729
83,2015/12/23,Wed,2.3216720447,-2.2938854009,-0.679835556,0.3545689155,-0.340881666,-0.0865237308,0.038426285
84,2015/12/24,Thu,-2.5195519771,1.6214277762,1.5948164908,-0.0423442183,0.0403859105,0.0049906131,0.0008352075
85,2015/12/25,Fri,4.207354924,-2.2888898997,1.7584503347,-1.6116576227,-1.6108842826,-0.8882845738,0.6566028101
86,2015/12/26,Sat,3.3085600875,2.2606124387,2.0209799779,1.9478111784,1.8861911221,0.2330825271,-0.1215644256
87,2015/12/27,Sun,-3.911523342,-3.3641815565,-3.3283807661,-0.9016776152,-0.6875818851,0.3689378185,0
88,2015/12/28,Mon,0.6502878402,-0.2784419833,0.2521510352,0.2441741013,0.1346441143,0.0587270172,0.0232515031
89,2015/12/29,Tue,1.9127518568,-1.490925172,1.1621255839,0.3148265474,-0.0083590082,0.0035791824,-0.0020522383
90,2015/12/30,Wed,-2.876772824,-2.2263076814,1.9046507008,1.8215620823,-1.4198458368,-1.0988054624,0.4879934263
91,2015/12/31,Thu,3.4036140981,3.0693395336,3.0474632706,3.015032918,0.4254814697,0.3620436822,0.0510916073
92,2016/01/01,Fri,-3.7840124765,-1.55946149,1.2971206795,-0.0344400509,-0.0194967759,-0.0080349817,0.0059393034
93,2016/01/02,Sat,-3.0381938467,-1.6074557613,0,0,0,0,0
94,2016/01/03,Sun,6.9993830208,-5.7522178119,3.1293279241,-1.9711260895,-1.2950034252,1.1727270806,-0.7782614276
95,2016/01/04,Mon,0.1498772097,-0.1480834229,-0.0992498305,0.0302524025,-0.008709767,0.0082593165,0.0063918081
96,2016/01/05,Tue,-0.2647035002,-0.2435341126,-0.0343675359,-0.0251979447,-0.0251957237,-0.0247822051,-0.0094075168
97,2016/01/06,Wed,-2.770375341,-1.8567863816,1.8292061603,-1.8141679884,0.0481682537,-0.03958553,0.0249344501
98,2016/01/07,Thu,-2.2351561954,1.8914347791,1.8315982205,0,0,0,0
99,2016/01/08,Fri,-1.2262599273,0.6852206184,0.2601150497,0.2213328126,-0.0389713122,-0.0297179034,-0.0093085027
100,2016/01/09,Sat,-4.4350841799,-3.9995072343,-0.5644104931,0.5067998051,-0.4589469373,0.0040622813,0.0022400503
101,2016/01/10,Sun,6.9966411101,1.0486370466,0.5548157054,0.2331152709,-0.2331129879,-0.2144700187,-0.1572473417
102,2016/01/11,Mon,-0.9997551734,-0.6700650859,-0.6590678071,-0.2874621488,-0.2624372035,-0.2599722242,-0.1375468027
103,2016/01/12,Tue,-1.6436356733,-1.1016125827,1.0948802469,0.1640975963,-0.1577630175,-0.1410396113,0.0788113903
104,2016/01/13,Wed,2.9997355803,0.4495919985,-0.1370404163,-0.0542577474,-0.0538710333,-0.0445421154,-0.0445381894
105,2016/01/14,Thu,3.8255037136,1.1337590985,0.4945057597,-0.1381725732,0.0243288215,-0.0239674475,-0.0098774282
106,2016/01/15,Fri,2.7571334062,2.4648680663,-1.0554137886,1.0008300473,0.3134887772,0.3112544323,0.0520902035
107,2016/01/16,Sat,4.6433440893,3.884880014,3.6947332147,3.655414775,1.3876237379,0.605232568,0.3935753795
108,2016/01/17,Sun,-5.9886398528,-5.8903527711,-5.3560826178,-1.3594989013,1.0049153449,0.9685327731,-0.0085727831
109,2016/01/18,Mon,0.2538233628,-0.108682765,0.0834960409,0.0834886815,-0.0650765944,-0.0594113678,-0.0491230228
110,2016/01/19,Tue,1.5477813631,0.2590300339,-0.1109121714,0.1108241997,-0.0337803931,-0.0147338169,-0.012327131
111,2016/01/20,Wed,2.7278922805,2.0801773105,1.0691663222,0.1133182781,0.0430164954,0.0355672721,-0.0269174002
112,2016/01/21,Thu,0.1415932109,-0.1415918242,-0.0419633677,0.0376800694,0.0276266622,0.0081876746,0.0011554447
113,2016/01/22,Fri,-0.1327557701,0.1034786184,-0.0994840841,-0.039388251,0.0168653664,-0.0094241821,-0.0090130609
114,2016/01/23,Sat,-2.6646760122,-1.0115316362,-0.4411944486,-0.4059103806,-0.0608367152,0.018543677,0.0176360503
115,2016/01/24,Sun,3.7035788028,-0.0327815215,0.0043386917,0.003960988,0.003313983,-0.0025459829,0.0004038506
116,2016/01/25,Mon,-0.6636338842,0.4270737111,0.3851300962,-0.3165067825,0.3001377294,-0.3001347901,-0.1655023312
117,2016/01/26,Tue,1.3005756803,0,0,0,0,0,0
118,2016/01/27,Wed,-2.2704074859,1.2351496027,-0.8359146136,0.8015788146,-0.2239735438,-0.2036585671,-0.1296771501
119,2016/01/28,Thu,-3.1178642785,0.4945639528,-0.4886448255,-0.0086499541,0.0038415542,-0.0029943612,0.0029585235
120,2016/01/29,Fri,-1.5240531055,-1.5036728456,-1.2580563648,-1.2462398889,0.3056428071,0.0108192366,-0.0032978182
121,2016/01/30,Sat,0.8467200484,0.6309022513,-0.623351376,0.6158908724,-0.2637137979,-0.2243950001,0.2072194583
122,2016/01/31,Sun,1.7767635393,-0.0471751224,-0.0306774085,-0.0195334719,0.0195286896,-0.0178984648,-0.0163403185
123,2016/02/01,Mon,0.8268286795,-0.6257460078,-0.625445749,-0.4067197652,0.0036000024,0.003598275,-0.0004130273
124,2016/02/02,Tue,0.0354038502,0.0145905811,0.0060130482,0.0059143605,0.0008346346,-0.0008003514,0.0007954602
125,2016/02/03,Wed,0.4233600242,-0.3299947741,0.298836127,0.0316728975,0.0138146016,-0.0131757129,0.0130673935
126,2016/02/04,Thu,3.9343509817,-1.1992319664,1.137210257,-0.769632011,0.2984491599,-0.2482424732,-0.2482205931
127,2016/02/05,Fri,-3.2176906668,2.4164446548,-1.8564448699,-0.032862648,-0.0135433047,-0.0129524906,0.0022806178
128,2016/02/06,Sat,5.4776715044,4.9808326039,-0.8770031886,0.4900597776,0.3792526953,0.1593494812,0.0695026275
129,2016/02/07,Sun,-6.339048534,1.1161519005,0.9392094389,0.0995444714,-0.0278142681,-0.0046548763,-0.0014580412
130,2016/02/08,Mon,-0.573381872,0.3611663573,-0.1603985548,-0.0434528969,-0.0065125989,0.0062919376,-0.003186021
131,2016/02/09,Tue,-1.9877773078,0.5215427803,0.0184617292,0.0030896756,0,0,0
132,2016/02/10,Wed,2.9718220671,1.5723396019,-0.3856194092,0.2211071787,-0.2096719889,-0.2062307988,-0.1409096092
133,2016/02/11,Thu,-3.1178642785,-1.2849295036,-0.5604409625,-0.5603915653,-0.3681697484,-0.3647116609,0.1111679879
134,2016/02/12,Fri,4.7552732663,0.7958220876,0.2019982384,0.0035757577,0.0035170714,-0.0025997513,0.0017594388
135,2016/02/13,Sat,-5.9952410051,-3.393951718,3.2369904544,2.1266593487,-1.7689015325,0.9491446569,0.794107229
136,2016/02/14,Sun,5.3379091534,4.1309581528,-2.7414438045,2.48259219,-2.4825678768,0.0219739761,-0.01662996
137,2016/02/15,Mon,0.1235731227,0.0786837039,-0.0654471176,0.0280233215,0.023845143,-0.0185864799,0.0171638419
138,2016/02/16,Tue,-1.9999804131,1.8965457086,-1.2586119952,-0.2106358919,-0.0260289349,0.0220262158,0
139,2016/02/17,Wed,1.5872480584,0.2239924588,0.2142209957,0.177124063,0.0554803546,0.0545697969,0.0422310573
140,2016/02/18,Thu,2.055913824,2.0549273113,-2.0544242104,0.7966679801,-0.5018115961,-0.4149122194,0.2670118352
